as_of_date,field_key,value,source,notes,section
2025-11-24,bam_current_revenue,0,,Current BAM cycle revenue,BAM_CYCLE
2025-11-24,bam_target_goal,150000,,BAM cycle target,BAM_CYCLE
2025-11-24,practice_goal,250000,,Monthly practice goal,BAM_CYCLE
2025-11-24,collection_rate,0,,Collection rate percentage,DASHBOARD_KPI
2025-11-24,active_patients,0,,Active patient count,DASHBOARD_KPI
2025-11-24,active_claims,0,,Active claims count,DASHBOARD_KPI
2025-11-24,pending_payments,0,,Pending payments amount,DASHBOARD_KPI
2025-11-24,outstanding_ar,0,,Outstanding A/R,DASHBOARD_KPI
2025-11-24,eod_daily_production,0,,Daily production amount,EOD_REPORT
2025-11-24,eod_daily_production_goal,19991,,Daily production goal,EOD_REPORT
2025-11-24,eod_payments_collected,0,,Total payments collected,EOD_REPORT
2025-11-24,eod_insurance_payments,0,,Insurance payments,EOD_REPORT
2025-11-24,eod_patient_payments,0,,Patient payments,EOD_REPORT
2025-11-24,eod_patients_seen,0,,Patients seen today,EOD_REPORT
2025-11-24,eod_new_patients,0,,New patients today,EOD_REPORT
2025-11-24,eod_procedures_completed,0,,Procedures completed,EOD_REPORT
2025-11-24,eod_unbilled_procedures,0,,Unbilled procedures,EOD_REPORT
2025-11-24,eod_unapplied_payments,0,,Unapplied payments,EOD_REPORT
2025-11-24,eod_failed_transactions,0,,Failed transactions,EOD_REPORT
2025-11-24,eod_payment_visa,0,,Visa payments,EOD_PAYMENT_METHODS
2025-11-24,eod_payment_mastercard,0,,Mastercard payments,EOD_PAYMENT_METHODS
2025-11-24,eod_payment_amex,0,,American Express payments,EOD_PAYMENT_METHODS
2025-11-24,eod_payment_discover,0,,Discover payments,EOD_PAYMENT_METHODS
2025-11-24,eod_payment_cherry,0,,Cherry financing,EOD_PAYMENT_METHODS
2025-11-24,eod_payment_carecredit,0,,CareCredit financing,EOD_PAYMENT_METHODS
2025-11-24,eod_payment_insurance_check,0,,Insurance check payments,EOD_PAYMENT_METHODS
2025-11-24,eod_payment_other_check,0,,Other check payments,EOD_PAYMENT_METHODS
2025-11-24,eod_payment_cash,0,,Cash payments,EOD_PAYMENT_METHODS
2025-11-24,eod_payment_eft,0,,EFT payments,EOD_PAYMENT_METHODS
2025-11-24,eod_claims_to_submit,0,,Claims ready to submit,EOD_ACTION_ITEMS
2025-11-24,eod_denied_claims_resubmit,0,,Denied claims to resubmit,EOD_ACTION_ITEMS
2025-11-24,eod_preauths_expiring,0,,Pre-auths expiring soon,EOD_ACTION_ITEMS
2025-11-24,eod_accounts_followup,0,,Accounts needing follow-up,EOD_ACTION_ITEMS
2025-11-24,eod_missed_appointments,0,,Missed appointments,EOD_ACTION_ITEMS
2025-11-24,eod_mtd_production,0,,Month-to-date production,EOD_MTD
2025-11-24,eod_mtd_production_goal,250000,,MTD production goal,EOD_MTD
2025-11-24,eod_mtd_collected,0,,MTD collected,EOD_MTD
2025-11-24,eod_mtd_new_patients,0,,MTD new patients,EOD_MTD
2025-11-24,provider_dr_gajjar,0,,Dr. Gajjar production,PROVIDER_PRODUCTION
2025-11-24,provider_dr_judge,0,,Dr. Judge production,PROVIDER_PRODUCTION
2025-11-24,provider_dr_strachan,0,,Dr. Strachan production,PROVIDER_PRODUCTION
2025-11-24,provider_farah,0,,Farah (hygienist) production,PROVIDER_PRODUCTION
2025-11-24,provider_olga,0,,Olga (hygienist) production,PROVIDER_PRODUCTION
2025-11-24,provider_jissel,0,,Jissel (hygienist) production,PROVIDER_PRODUCTION
2025-11-24,provider_temp_hyg,0,,Temp hygienist production,PROVIDER_PRODUCTION
2025-11-24,todays_payments,0,,Today's payments total,PAYMENTS
2025-11-24,pending_deposits,0,,Pending deposits,PAYMENTS
2025-11-24,insurance_payments,0,,Insurance payments,PAYMENTS
2025-11-24,patient_payments,0,,Patient payments,PAYMENTS
2025-11-24,unapplied_credits,0,,Unapplied credits,PAYMENTS
2025-11-24,refunds_pending,0,,Refunds pending,PAYMENTS
2025-11-24,total_patients,0,,Total patients in system,PATIENTS
2025-11-24,patients_with_balance,0,,Patients with balance,PATIENTS
2025-11-24,total_patient_ar,0,,Total patient A/R,PATIENTS
2025-11-24,payment_plans,0,,Active payment plans,PATIENTS
2025-11-24,past_due_accounts,0,,Past due accounts,PATIENTS
2025-11-24,patient_ar_0_30,0,,Patient A/R 0-30 days,PATIENT_AR_AGING
2025-11-24,patient_ar_31_60,0,,Patient A/R 31-60 days,PATIENT_AR_AGING
2025-11-24,patient_ar_61_90,0,,Patient A/R 61-90 days,PATIENT_AR_AGING
2025-11-24,patient_ar_90_plus,0,,Patient A/R 90+ days,PATIENT_AR_AGING
2025-11-24,total_pre_auths,0,,Total pre-authorizations,PRE_AUTH
2025-11-24,pre_auths_pending,0,,Pending pre-auths,PRE_AUTH
2025-11-24,pre_auths_approved,0,,Approved pre-auths,PRE_AUTH
2025-11-24,pre_auths_denied,0,,Denied pre-auths,PRE_AUTH
2025-11-24,pre_auths_expiring_soon,0,,Pre-auths expiring soon (7 days),PRE_AUTH
