as_of_date,field_key,value,source,notes
2025-11-24,eod_daily_production,0,,
2025-11-24,eod_daily_production_goal,19991,,
2025-11-24,eod_payments_collected,0,,
2025-11-24,eod_insurance_payments,0,,
2025-11-24,eod_patient_payments,0,,
2025-11-24,eod_patients_seen,0,,
2025-11-24,eod_new_patients,0,,
2025-11-24,eod_procedures_completed,0,,
2025-11-24,eod_unbilled_procedures,0,,
2025-11-24,eod_unapplied_payments,0,,
2025-11-24,eod_failed_transactions,0,,
2025-11-24,eod_payment_visa,0,,
2025-11-24,eod_payment_mastercard,0,,
2025-11-24,eod_payment_amex,0,,
2025-11-24,eod_payment_discover,0,,
2025-11-24,eod_payment_cherry,0,,
2025-11-24,eod_payment_carecredit,0,,
2025-11-24,eod_payment_insurance_check,0,,
2025-11-24,eod_payment_other_check,0,,
2025-11-24,eod_payment_cash,0,,
2025-11-24,eod_payment_eft,0,,
2025-11-24,eod_claims_to_submit,0,,
2025-11-24,eod_denied_claims_resubmit,0,,
2025-11-24,eod_preauths_expiring,0,,
2025-11-24,eod_accounts_followup,0,,
2025-11-24,eod_missed_appointments,0,,
2025-11-24,eod_mtd_production,0,,
2025-11-24,eod_mtd_production_goal,250000,,
2025-11-24,eod_mtd_collected,0,,
2025-11-24,eod_mtd_new_patients,0,,
2025-11-24,provider_dr_gajjar,0,,
2025-11-24,provider_dr_judge,0,,
2025-11-24,provider_dr_strachan,0,,
2025-11-24,provider_farah,0,,
2025-11-24,provider_olga,0,,
2025-11-24,provider_jissel,0,,
2025-11-24,provider_temp_hyg,0,,
2025-11-24,bam_current_revenue,0,,
2025-11-24,bam_target_goal,150000,,
2025-11-24,practice_goal,250000,,
2025-11-24,collection_rate,0,,
2025-11-24,active_patients,0,,
2025-11-24,active_claims,0,,
2025-11-24,pending_payments,0,,
2025-11-24,outstanding_ar,0,,
