Provider Name,Fee Schedule,Portal Status,EFT Status,Dr. Gajjar Network,Dr. Judge Network,Dr. Strachan Network
Aetna,Direct,All Set!,Enrolled,In,In,In
Cigna,Connection,All Set!,Enrolled,In,In,In
Delta Dental Insurance,Direct,All Set!,Enrolled,Out,Out,Out
MetLife,Connection,All Set!,Enrolled,In,In,In
Anthem BCBS,Decare,All Set!,Enrolled,In,In,In
United Healthcare (Optum ID),Connection,All Set!,Enrolled,Out,Out,Out
Guardian,Connection,All Set!,Enrolled,Out,Out,Out
Humana,Direct,All Set!,Enrolled,In,In,In
Ameritas,Direct,All Set!,Enrolled,In,In,In
Principal,Direct,All Set!,Enrolled,In,In,In
Beam Benefits,Direct,All Set!,Enrolled,Out,Out,Out
