as_of_date,field_key,value,notes
2025-12-04,bam_current_revenue,0,
2025-12-04,collection_rate,0,
2025-12-04,active_patients,0,
2025-12-04,active_claims,0,
2025-12-04,eod_daily_production,0,
2025-12-04,eod_payments_collected,0,
2025-12-04,eod_insurance_payments,0,
2025-12-04,eod_patient_payments,0,
2025-12-04,eod_patients_seen,0,
2025-12-04,eod_new_patients,0,
2025-12-04,eod_procedures_completed,0,
2025-12-04,eod_payment_visa,0,
2025-12-04,eod_payment_mastercard,0,
2025-12-04,eod_payment_amex,0,
2025-12-04,eod_payment_discover,0,
2025-12-04,eod_payment_cherry,0,
2025-12-04,eod_payment_carecredit,0,
2025-12-04,eod_payment_insurance_check,0,
2025-12-04,eod_payment_other_check,0,
2025-12-04,eod_payment_cash,0,
2025-12-04,eod_payment_eft,0,
2025-12-04,provider_dr_gajjar,0,
2025-12-04,provider_dr_judge,0,
2025-12-04,provider_dr_strachan,0,
2025-12-04,provider_farah,0,
2025-12-04,provider_olga,0,
2025-12-04,provider_jissel,0,
2025-12-04,provider_temp_hyg,0,
2025-12-04,eod_mtd_production,0,
2025-12-04,eod_mtd_collected,0,
2025-12-04,eod_mtd_new_patients,0,
2025-12-04,todays_payments,0,
2025-12-04,insurance_payments,0,
2025-12-04,patient_payments,0,
2025-12-04,unapplied_credits,0,
2025-12-04,patients_with_balance,0,
2025-12-04,total_patient_ar,0,
2025-12-04,past_due_accounts,0,
2025-12-04,patient_ar_0_30,0,
2025-12-04,patient_ar_31_60,0,
2025-12-04,patient_ar_61_90,0,
2025-12-04,patient_ar_90_plus,0,
2025-12-04,insurance_ar_0_30_amount,0,
2025-12-04,insurance_ar_31_60_amount,0,
2025-12-04,insurance_ar_61_90_amount,0,
2025-12-04,insurance_ar_90_plus_amount,0,
2025-12-04,insurance_ar_0_30_count,0,
2025-12-04,insurance_ar_31_60_count,0,
2025-12-04,insurance_ar_61_90_count,0,
2025-12-04,insurance_ar_90_plus_count,0,
2025-12-04,total_pre_auths,0,
2025-12-04,eod_claims_to_submit,0,
2025-12-04,scorecard_production_actual,0,
2025-12-04,scorecard_collection_actual,0,
2025-12-04,scorecard_new_patients_actual,0,
2025-12-04,scorecard_show_rate_dr,0,
2025-12-04,scorecard_show_rate_hyg,0,
2025-12-04,new_pts_per_day,0,
2025-12-04,new_pts_per_week,0,
2025-12-04,new_pts_per_month,0,
2025-12-04,new_pts_quarterly,0,
